authorName
Olive Higgins Prouty
Olivia Dade
Oscar Hijuelos
Oscar Wilde
Owen Parry
Pat Barker
Patricia Highsmith
Patrick Chamoiseau
Patrick Dennis
Patrick OBrian
Paul Elwork
Paul Gallico
Paulo Coelho
Pearl S. Buck
Pelham Grenville Wodehouse
Perry Brass
Pete Dexter
Pete Hamill
Peter David
Peter Dickinson
Peter Lovesey
Philippa Ballantine
Phyllis A. Whitney
Piers Anthony
Plum Sykes
Poul Anderson
R. Scott Leatherwood
R.A. Salvatore
Rachel Heng
Rainer Maria Rilke
Randy Wayne White
Regina McBride
Reginald Keith
Rex Stout
Reynolds Price
Richard Adams
Richard Cowper
Richard Lee Byers
Richard Llewellyn
Richard Wagamese
Richard Woodman
Richard Wright
Robert Asprin
Robert Dugoni
Robert Ellis
Robert Ervin Howard
Robert Jordan
Robert Littell
Robert Louis Stevenson
Robert Ludlum
Robert McCammon
Robert Rodi
Robert Ruark
Robert Schneider
Robin Lee Hatcher
Robley Wilson
Ron Carter
Ruth Park
Sally Beauman
Samina Ali
Sandie Jones
Sandra Brown
Sarah Andrews
Sarah Hogle
Sascha Rothchild
Sharon Gillenwater
Sheila Roberts
Sheldon Filger
Sheri Holman
Sherrilyn Kenyon
Shirley Rousseau Murphy
Sophie Kinsella
Stan Lee
Stan Nicholls
Stephanie Laurens
Stephen Booth
Stephen King
Stephen R. Donaldson
Steve Martini
Steven Brust
Susan Elia MacNeal
Susan Hill
Susan Mallery
Susan Sizemore
Susan Wiggs
Susan Wittig Albert
Susann Oriel
Suzanne Brockmann
Suzanne Enoch
T.C. Boyle
Tahar Djaout
Tamara Sneed
Teresa Medeiros
Terry Brooks
Terry Pratchett
Thomas H. Cook
Thomas Hardy
Thomas Harris
Thomas Mann
Thomas Perry
Thrity Umrigar
Tiffanie DeBartolo
Tillie Olsen
Timothy Zahn
Todd McCaffrey
Toni Cade Bambara
Trevanian
Trista Russell
Truman Capote
V.C. Andrews
Val McDermid
Van Whitfield
Victoria Houston
Viet Thanh Nguyen
Virginia Andrews
W. B. Yeats
Wallace Stegner
Wen Spencer
Wendell Berry
Wilkie Collins
Willa Cather
William Attaway
William Kennedy
William M. Valtos
William Makepeace Thackeray
William Maxwell
William Peter Blatty
William S. Burroughs
William W. Johnstone
Yasunari Kawabata
Yvette Christiansë
Zane
Zoe Wicomb
Василий Аксенов
